title,label,score,event
ヴァンパイア,う,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ヴィラン,う,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Voices,う,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
エイリアンエイリアン,え,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ECHO,え,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
エゴイスト,え,:red_circle: :purple_circle: ,:red_circle: :yellow_circle: 
エゴロック,え,:purple_circle: :red_circle: ,:yellow_circle: :red_circle: 
エピローグに君はいない,え,:purple_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
エンドマークに希望と涙を添えて,え,:red_circle: :yellow_circle: ,:green_circle: :yellow_circle: 
お気に召すまま,お,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ODDS＆ENDS,お,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
乙女解剖,お,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
踊,お,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
踊れオーケストラ,お,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
オルターエゴ,お,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
on the rocks,お,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
オーダーメイド,お,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
限りなく灰色へ,か,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
カゲロウデイズ,か,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
仮死化,か,:red_circle: :purple_circle: ,:yellow_circle: :blue_circle: 
カトラリー,か,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
カナデトモスソラ,か,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
神のまにまに,か,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
からくりピエロ,か,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Color of Drops,か,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Calc.,か,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
カンタレラ,か,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
ガランド,か,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
気まぐれメルシィ,き,:purple_circle: :red_circle: ,:red_circle: :green_circle: 
君色マリンスノウ,き,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
君の夜をくれ,き,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Q,き,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
KING,き,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Gimme×Gimme,き,:red_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
腐れ外道とチョコレゐト,く,:yellow_circle: :blue_circle: ,:blue_circle: :green_circle: 
悔やむと書いてミライ,く,:purple_circle: :red_circle: ,:red_circle: :green_circle: 
Goodbye,く,:red_circle: :yellow_circle: ,:yellow_circle: :red_circle: 
グッバイ宣言,く,:purple_circle: :red_circle: ,:red_circle: :blue_circle: 
グリーンライツ・セレナーデ,く,:purple_circle: :red_circle: ,:yellow_circle: :green_circle: 
Glory Steady Go!,く,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
群青讃歌,く,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
携帯恋話,け,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
月光,け,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ココロ,こ,:blue_circle: :red_circle: ,:blue_circle: :red_circle: 
心予報,こ,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
コスモスパイス,こ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
こちら、幸福安心委員会です。,こ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Copycat,こ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ゴーストルール,こ,:purple_circle: :red_circle: ,:blue_circle: :green_circle: 
再生,さ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
サラマンダー,さ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
去り人達のワルツ,さ,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
39,さ,:red_circle: :yellow_circle: ,:blue_circle: :yellow_circle: 
39みゅーじっく！,さ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
サンドリヨン 10th Anniversary,さ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
the WALL,さ,:purple_circle: :red_circle: ,:green_circle: :yellow_circle: 
しっくおぶはうす！,し,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
シネマ,し,:purple_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
シャルル,し,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
少女レイ,し,:red_circle: :blue_circle: ,:red_circle: :blue_circle: 
ショウタイム・ルーラー,し,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
心拍数♯0822,し,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ジウダス,し,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
ジェヘナ,し,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
the EmpErroR,し,:red_circle: :blue_circle: ,:blue_circle: :green_circle: 
自傷無色,し,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
Just Be Friends,し,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ジャックポットサッドガール,し,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ジャンキーナイトタウンオーケストラ,し,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Journey,し,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
スイートマジック,す,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
ステラ,す,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
STAGE OF SEKAI,す,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ストロボラスト,す,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
砂の惑星,す,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
SnowMix♪,す,:red_circle: :purple_circle: ,:red_circle: :yellow_circle: 
セカイ,せ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
星界ちゃんと可不ちゃんのおつかい合騒曲,せ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
セカイはまだ始まってすらいない,せ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
千年の独奏歌,せ,:purple_circle: :red_circle: ,:green_circle: :yellow_circle: 
千本桜,せ,:purple_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
そうだった！！,そ,:red_circle: :yellow_circle: ,:yellow_circle: :green_circle: 
それがあなたの幸せとしても,そ,:purple_circle: :red_circle: ,:green_circle: :yellow_circle: 
それでもいいんだよ,そ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
タイムマシン,た,:purple_circle: :blue_circle: ,:blue_circle: :green_circle: 
脱法ロック,た,:purple_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
ダブルラリアット,た,:purple_circle: :red_circle: ,:yellow_circle: :red_circle: 
だれかの心臓になれたなら,た,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ダンスロボットダンス,た,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ダーリンダンス,た,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
Change me,ち,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
地球最後の告白を,ち,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
チュルリラ・チュルリラ・ダッダッダ！,ち,:purple_circle: :red_circle: ,:blue_circle: :green_circle: 
チルドレンレコード,ち,:purple_circle: :red_circle: ,:blue_circle: :green_circle: 
ツギハギスタッカート,つ,:red_circle: :yellow_circle: ,:green_circle: :red_circle: 
帝国少女,て,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
テオ,て,:purple_circle: :yellow_circle: ,:yellow_circle: :red_circle: 
てらてら,て,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
Tell Your World,て,:red_circle: ,:red_circle: :yellow_circle: 
テレキャスタービーボーイ,て,:purple_circle: :red_circle: ,:blue_circle: :green_circle: 
天使のクローバー,て,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
天使の翼。,て,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
泥中に咲く,て,:red_circle: :purple_circle: ,:red_circle: :yellow_circle: 
DAYBREAK FRONTLINE,て,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
トキヲ・ファンカ,と,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
徳川カップヌードル禁止令,と,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
とても痛い痛がりたい,と,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
トラフィック・ジャム,と,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
トリコロージュ,と,:yellow_circle: ,:yellow_circle: :blue_circle: 
トリノコシティ,と,:purple_circle: :red_circle: ,:blue_circle: :green_circle: 
トンデモワンダーズ,と,:purple_circle: :red_circle: ,:green_circle: :yellow_circle: 
ドクター＝ファンクビート,と,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ドラマツルギー,と,:purple_circle: :red_circle: ,:red_circle: :blue_circle: 
どりーみんチュチュ,と,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
DREAM PLACE,と,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
drop pop candy,と,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Don't Fight The Music,と,:purple_circle: :red_circle: ,:yellow_circle: :blue_circle: 
どんな結末がお望みだい？,と,:red_circle: :purple_circle: ,:green_circle: :yellow_circle: 
ドーナツホール,と,:purple_circle: :red_circle: ,:green_circle: :blue_circle: 
ナンセンス文学,な,:purple_circle: :blue_circle: ,:blue_circle: :green_circle: 
ニア,に,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ニジイロストーリーズ,に,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
にっこり^^調査隊のテーマ,に,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
needLe,に,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
ネクストネスト,ね,:red_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
ネトゲ廃人シュプレヒコール,ね,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
脳漿炸裂ガール,の,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
Nostalogic,の,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
ノマド,の,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ノンブレス・オブリージュ,の,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
拝啓ドッペルゲンガー,は,:purple_circle: :red_circle: ,:yellow_circle: :green_circle: 
88☆彡,は,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ハッピーシンセサイザ,は,:red_circle: :purple_circle: ,:red_circle: :yellow_circle: 
Happy Halloween,は,:purple_circle: :red_circle: ,:green_circle: :yellow_circle: 
初音天地開闢神話,は,:purple_circle: :red_circle: ,:yellow_circle: :green_circle: 
初音ミクの激唱,は,:red_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
初音ミクの消失,は,:red_circle: :yellow_circle: ,:blue_circle: :yellow_circle: 
花を唄う,は,:red_circle: :yellow_circle: ,:green_circle: :red_circle: 
霽れを待つ,は,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
ハロ／ハワユ,は,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
＊ハロー、プラネット。,は,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
"Hello, Worker",は,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
"Hello,world!",は,:purple_circle: :red_circle: ,:green_circle: :yellow_circle: 
Hand in Hand,は,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
バグ,は,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
Bad ∞ End ∞ Night,は,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
PaⅢ.SENSATION,は,:purple_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
パラジクロロベンゼン,は,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
パラソルサイダー,は,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
パレットには君がいっぱい,は,:red_circle: :yellow_circle: ,:yellow_circle: :red_circle: 
陽だまりのセツナ,ひ,:purple_circle: :red_circle: ,:yellow_circle: :blue_circle: 
ひつじがいっぴき,ひ,:red_circle: :purple_circle: ,:red_circle: :green_circle: 
独りんぼエンヴィー,ひ,:purple_circle: :red_circle: ,:red_circle: :green_circle: 
ヒバナ -Reloaded-,ひ,:red_circle: :yellow_circle: ,:yellow_circle: :red_circle: 
ヒビカセ,ひ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ビターチョコデコレーション,ひ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ビバハピ,ひ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Beat Eater,ひ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ピアノ×フォルテ×スキャンダル,ひ,:red_circle: :purple_circle: ,:red_circle: :yellow_circle: 
Peaky Peaky,ひ,:red_circle: :red_circle: ,:red_circle: :yellow_circle: 
フィクサー,ふ,:purple_circle: :red_circle: ,:blue_circle: :yellow_circle: 
フェレス,ふ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
フォニイ,ふ,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
Forward,ふ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
フューチャー・イヴ,ふ,:purple_circle: :red_circle: ,:yellow_circle: :red_circle: 
Flyway,ふ,:purple_circle: :red_circle: ,:red_circle: :blue_circle: 
Flyer!,ふ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
フラジール,ふ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
FREELY TOMORROW,ふ,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
フレー,ふ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
フロイライン＝ビブリォチカ,ふ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
フロムトーキョー,ふ,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
from Y to Y,ふ,:purple_circle: :red_circle: ,:red_circle: :blue_circle: 
フロート・プランナー,ふ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ブラック★ロックシューター,ふ,:red_circle: :blue_circle: ,:red_circle: :blue_circle: 
Brand New Day,ふ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ブリキノダンス,ふ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ブレス・ユア・ブレス,ふ,:purple_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
Blessing,ふ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Booo!,ふ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ベノム,へ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
p.h.,へ,:purple_circle: :yellow_circle: ,:green_circle: :yellow_circle: 
星屑ユートピア,ほ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
星空オーケストラ,ほ,:red_circle: :yellow_circle: ,:yellow_circle: :green_circle: 
星空のメロディー,ほ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ぼうけんのしょがきえました！,ほ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ぼくらの16bit戦争,ほ,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
僕らまだアンダーグラウンド,ほ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ボッカデラベリタ,ほ,:purple_circle: :red_circle: ,:blue_circle: :green_circle: 
ポジティブ☆ダンスタイム,ほ,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
potatoになっていく,ほ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
マシュマリー,ま,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
マシンガンポエムドール,ま,:red_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
magic number,ま,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
街,ま,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
マトリョシカ,ま,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
未完成讃歌,み,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
右肩の蝶,み,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Miku,み,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
みくみくにしてあげる♪【してやんよ】,み,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
Mr. Showtime,み,:red_circle: :yellow_circle: ,:red_circle: :blue_circle: 
ミライ,み,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ミラクルペイント,み,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ミルククラウン・オン・ソーネチカ,み,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
メタモリボン,め,:red_circle: :purple_circle: ,:red_circle: :yellow_circle: 
メリュー,め,:purple_circle: :red_circle: ,:red_circle: :purple_circle: 
メルティランドナイトメア,め,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
メルト,め,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
モア！ジャンプ！モア！,も,:purple_circle: :red_circle: ,:green_circle: :yellow_circle: 
妄想感傷代償連盟,も,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ヤミナベ!!!!,や,:red_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
幽霊東京,ゆ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
夜明けと蛍,よ,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
夜咄ディセイブ,よ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
夜もすがら君想ふ,よ,:purple_circle: :red_circle: ,:green_circle: :blue_circle: 
夜に駆ける,よ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ラストスコア,ら,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
RAD DOGS,ら,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ラブカ？,ら,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
リモコン,り,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
流星のパルス,り,:purple_circle: :green_circle: ,:green_circle: :green_circle: 
リンちゃんなう！,り,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
ルカルカ★ナイトフィーバー,る,:purple_circle: :red_circle: ,:green_circle: :red_circle: 
ray,れ,:purple_circle: :red_circle: ,:purple_circle: :red_circle: 
Leia - Remind,れ,:red_circle: :blue_circle: ,:red_circle: :blue_circle: 
レイニースノードロップ,れ,:red_circle: :purple_circle: ,:red_circle: :yellow_circle: 
劣等上等,れ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
Ready Steady,れ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
恋愛裁判,れ,:purple_circle: :red_circle: ,:yellow_circle: :blue_circle: 
ロウワー,ろ,:red_circle: :yellow_circle: ,:red_circle: :green_circle: 
ロキ,ろ,:red_circle: :green_circle: ,:red_circle: :green_circle: 
六兆年と一夜物語,ろ,:red_circle: :yellow_circle: ,:yellow_circle: :blue_circle: 
炉心融解,ろ,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
ロストエンファウンド,ろ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ロストワンの号哭,ろ,:purple_circle: :red_circle: ,:red_circle: :blue_circle: 
ロミオとシンデレラ,ろ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ロンリーユニバース,ろ,:purple_circle: :red_circle: ,:yellow_circle: :blue_circle: 
ローリンガール,ろ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
YY,わ,:red_circle: :yellow_circle: ,:red_circle: :blue_circle: 
私は、私達は,わ,:red_circle: :purple_circle: ,:red_circle: :yellow_circle: 
What's up? Pop!,わ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ワンスアポンアドリーム,わ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ONESELF,わ,:purple_circle: :red_circle: ,:blue_circle: :red_circle: 
ワールズエンド・ダンスホール,わ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ワールドイズマイン,わ,:red_circle: :yellow_circle: ,:red_circle: :yellow_circle: 
ワールドワイドワンダー,わ,:purple_circle: :red_circle: ,:red_circle: :yellow_circle: 
ワーワーワールド,わ,:purple_circle: :red_circle: ,:green_circle: :yellow_circle: 
